17/09/2009  00:05:14   Entrada                                      Acceso Otorgado    
17/09/2009  08:30:18   Entrada                          0001370634  Acceso Otorgado    
17/09/2009  08:31:52   Entrada                          0001370610  Acceso Otorgado    
17/09/2009  08:31:54   Entrada                          0001972253  Acceso Otorgado    
17/09/2009  08:32:02   Entrada                          0001370642  Acceso Otorgado    
17/09/2009  08:32:12   Entrada                          0002123421  Acceso Otorgado    
17/09/2009  08:32:15   Entrada                          0003201257  Acceso Otorgado    
17/09/2009  08:32:18   Entrada                          0001832124  Acceso Otorgado    
17/09/2009  08:32:24   Entrada                          0002810304  Acceso Otorgado    
17/09/2009  08:32:57   Entrada                          0003201206  Acceso Otorgado    
17/09/2009  08:33:19   Entrada                          0001370643  Acceso Otorgado    
17/09/2009  08:33:28   Entrada                          0001972254  Acceso Otorgado    
17/09/2009  08:33:33   Entrada                          0003201229  Acceso Otorgado    
17/09/2009  08:33:52   Entrada                          0001972268  Acceso Otorgado    
17/09/2009  08:35:13   Entrada                          0001972265  Acceso Otorgado    
17/09/2009  08:35:26   Entrada                          0002810321  Acceso Otorgado    
17/09/2009  08:35:29   Entrada                          0001832149  Acceso Otorgado    
17/09/2009  08:35:31   Entrada                          0001832193  Acceso Otorgado    
17/09/2009  08:35:36   Entrada                          0001370618  Acceso Otorgado    
17/09/2009  08:35:37   Entrada                          0001972275  Acceso Otorgado    
17/09/2009  08:35:51   Entrada                          0002811023  Acceso Otorgado    
17/09/2009  08:36:23   Entrada                          0001972241  Acceso Otorgado    
17/09/2009  08:36:25   Entrada                          0002810314  Acceso Otorgado    
17/09/2009  08:36:28   Entrada                          0001370636  Acceso Otorgado    
17/09/2009  08:36:30   Entrada                          0003201210  Acceso Otorgado    
17/09/2009  08:37:19   Entrada                          0001832144  Acceso Otorgado    
17/09/2009  08:37:23   Entrada                          0003201221  Acceso Otorgado    
17/09/2009  08:37:25   Entrada                          0001972274  Acceso Otorgado    
17/09/2009  08:37:51   Entrada                          0001832119  Acceso Otorgado    
17/09/2009  08:37:58   Entrada                          0001370625  Acceso Otorgado    
17/09/2009  08:38:02   Entrada                          0001972267  Acceso Otorgado    
17/09/2009  08:39:07   Entrada                          0001972252  Acceso Otorgado    
17/09/2009  08:39:08   Entrada                          0001972269  Acceso Otorgado    
17/09/2009  08:39:20   Entrada                          0002123418  Acceso Otorgado    
17/09/2009  08:39:42   Entrada                          0001972266  Acceso Otorgado    
17/09/2009  08:40:01   Entrada                          0001370641  Acceso Otorgado    
17/09/2009  08:41:06   Entrada                          0001370606  Acceso Otorgado    
17/09/2009  08:41:12   Entrada                          0001972298  Acceso Otorgado    
17/09/2009  08:41:44   Entrada                          0001832154  Acceso Otorgado    
17/09/2009  08:41:47   Entrada                          0003201209  Acceso Otorgado    
17/09/2009  08:42:40   Entrada                          0001370601  Acceso Otorgado    
17/09/2009  08:42:47   Entrada                          0001370629  Acceso Otorgado    
17/09/2009  08:43:07   Entrada                          0001370635  Acceso Otorgado    
17/09/2009  08:43:57   Entrada                          0002811039  Acceso Otorgado    
17/09/2009  08:43:58   Entrada                          0002123423  Acceso Otorgado    
17/09/2009  08:44:07   Entrada                          0001370644  Acceso Otorgado    
17/09/2009  08:45:47   Entrada                          0001370639  Acceso Otorgado    
17/09/2009  08:47:24   Entrada                          0003201203  Acceso Otorgado    
17/09/2009  08:47:43   Entrada                          0003201212  Acceso Otorgado    
17/09/2009  08:50:44   Salida                           0001832127  Acceso Otorgado    
17/09/2009  09:10:45   Entrada                          0001370650  Acceso Otorgado    
17/09/2009  09:21:58   Entrada                          0001832126  Acceso Otorgado    
17/09/2009  10:14:10   Entrada                          0001832127  Acceso Otorgado    
17/09/2009  12:30:48   Salida                           0002810304  Acceso Otorgado    
17/09/2009  12:30:54   Salida                           0002810301  Acceso Otorgado    
17/09/2009  12:31:00   Salida                           0001972258  Acceso Otorgado    
17/09/2009  12:31:39   Salida                           0001832186  Acceso Otorgado    
17/09/2009  12:31:45   Salida                           0001832193  Acceso Otorgado    
17/09/2009  12:31:56   Salida                           0001832147  Acceso Otorgado    
17/09/2009  12:32:10   Salida                           0001832144  Acceso Otorgado    
17/09/2009  12:32:22   Salida                           0001370648  Acceso Otorgado    
17/09/2009  12:32:29   Salida                           0002811041  Acceso Otorgado    
17/09/2009  12:33:27   Salida                           0002123412  Acceso Otorgado    
17/09/2009  12:33:27   Salida                           0001370617  Acceso Otorgado    
17/09/2009  12:33:29   Salida                           0001370617  Acceso Otorgado    
17/09/2009  12:33:44   Salida                           0001972253  Acceso Otorgado    
17/09/2009  12:34:09   Salida                           0001370601  Acceso Otorgado    
17/09/2009  12:34:16   Salida                           0002811039  Acceso Otorgado    
17/09/2009  12:35:07   Salida                           0001370642  Acceso Otorgado    
17/09/2009  12:35:09   Salida                           0001832124  Acceso Otorgado    
17/09/2009  12:35:11   Salida                           0003201257  Acceso Otorgado    
17/09/2009  12:35:20   Salida                           0001370607  Acceso Otorgado    
17/09/2009  12:35:21   Salida                           0001832119  Acceso Otorgado    
17/09/2009  12:35:29   Salida                           0001972265  Acceso Otorgado    
17/09/2009  12:35:45   Salida                           0001370636  Acceso Otorgado    
17/09/2009  12:35:48   Salida                           0001370618  Acceso Otorgado    
17/09/2009  12:35:56   Salida                           0001972241  Acceso Otorgado    
17/09/2009  12:36:04   Salida                           0001972269  Acceso Otorgado    
17/09/2009  12:36:37   Salida                           0001972268  Acceso Otorgado    
17/09/2009  12:36:41   Salida                           0002811022  Acceso Otorgado    
17/09/2009  12:36:44   Salida                           0001972266  Acceso Otorgado    
17/09/2009  12:36:49   Salida                           0001972263  Acceso Otorgado    
17/09/2009  12:36:53   Salida                           0001832129  Acceso Otorgado    
17/09/2009  12:37:03   Salida                           0001972256  Acceso Otorgado    
17/09/2009  12:37:06   Salida                           0001972260  Acceso Otorgado    
17/09/2009  12:37:07   Salida                           0001370650  Acceso Otorgado    
17/09/2009  12:37:11   Salida                           0001370635  Acceso Otorgado    
17/09/2009  12:37:16   Salida                           0001972274  Acceso Otorgado    
17/09/2009  12:37:17   Salida                           0001370627  Acceso Otorgado    
17/09/2009  12:37:36   Salida                           0003201209  Acceso Otorgado    
17/09/2009  12:38:00   Salida                           0001370641  Acceso Otorgado    
17/09/2009  12:38:13   Salida                           0001370634  Acceso Otorgado    
17/09/2009  12:38:17   Salida                           0001972251  Acceso Otorgado    
17/09/2009  12:38:20   Salida                           0001972252  Acceso Otorgado    
17/09/2009  12:38:24   Salida                           0001370637  Acceso Otorgado    
17/09/2009  12:38:31   Salida                           0001370639  Acceso Otorgado    
17/09/2009  12:38:33   Salida                           0001972275  Acceso Otorgado    
17/09/2009  12:38:35   Salida                           0002810328  Acceso Otorgado    
17/09/2009  12:38:37   Salida                           0001972276  Acceso Otorgado    
17/09/2009  12:38:43   Salida                           0001370622  Acceso Otorgado    
17/09/2009  12:38:58   Salida                           0001370632  Acceso Otorgado    
17/09/2009  12:39:01   Salida                           0001370633  Acceso Otorgado    
17/09/2009  12:39:35   Salida                           0001370644  Acceso Otorgado    
17/09/2009  12:39:57   Salida                           0003201206  Acceso Otorgado    
17/09/2009  12:40:09   Salida                           0001370643  Acceso Otorgado    
17/09/2009  12:40:42   Salida                           0002810321  Acceso Otorgado    
17/09/2009  12:41:24   Salida                           0001832127  Acceso Otorgado    
17/09/2009  12:41:42   Salida                           0001832123  Acceso Otorgado    
17/09/2009  12:41:54   Salida                           0003201210  Acceso Otorgado    
17/09/2009  12:42:03   Salida                           0001832135  Acceso Otorgado    
17/09/2009  12:42:09   Salida                           0001972298  Acceso Otorgado    
17/09/2009  12:42:19   Salida                           0002123422  Acceso Otorgado    
17/09/2009  12:42:33   Salida                           0001832125  Acceso Otorgado    
17/09/2009  12:42:42   Salida                           0002123420  Acceso Otorgado    
17/09/2009  12:42:43   Salida                           0001832134  Acceso Otorgado    
17/09/2009  12:42:45   Salida                           0003201221  Acceso Otorgado    
17/09/2009  12:42:50   Salida                           0001370606  Acceso Otorgado    
17/09/2009  12:42:52   Salida                           0003201229  Acceso Otorgado    
17/09/2009  12:43:06   Salida                           0001972259  Acceso Otorgado    
17/09/2009  12:43:10   Salida                           0001972262  Acceso Otorgado    
17/09/2009  12:43:16   Salida                           0001972257  Acceso Otorgado    
17/09/2009  12:43:21   Salida                           0002123418  Acceso Otorgado    
17/09/2009  12:43:35   Salida                           0002811023  Acceso Otorgado    
17/09/2009  12:45:36   Salida                           0001972261  Acceso Otorgado    
17/09/2009  12:46:07   Salida                           0001832189  Acceso Otorgado    
17/09/2009  12:46:48   Salida                           0003201228  Acceso Otorgado    
17/09/2009  12:47:30   Salida                           0001832122  Acceso Otorgado    
17/09/2009  12:49:55   Salida                           0001370610  Acceso Otorgado    
17/09/2009  12:49:57   Salida                           0001832126  Acceso Otorgado    
17/09/2009  12:50:52   Salida                           0002810314  Acceso Otorgado    
17/09/2009  12:50:58   Salida                           0001832121  Acceso Otorgado    
17/09/2009  12:51:29   Salida                           0001972254  Acceso Otorgado    
17/09/2009  12:52:36   Salida                           0001370616  Acceso Otorgado    
17/09/2009  12:52:41   Salida                           0001972277  Acceso Otorgado    
17/09/2009  12:52:52   Salida                           0001370603  Acceso Otorgado    
17/09/2009  12:52:55   Salida                           0001370603  Acceso Otorgado    
17/09/2009  12:53:01   Salida                           0001972267  Acceso Otorgado    
17/09/2009  12:53:09   Salida                           0001370625  Acceso Otorgado    
17/09/2009  12:53:11   Salida                           0001370624  Acceso Otorgado    
17/09/2009  12:54:12   Salida                           0002123413  Acceso Otorgado    
17/09/2009  12:55:33   Salida                           0001832154  Acceso Otorgado    
17/09/2009  12:57:47   Salida                           0002123421  Acceso Otorgado    
17/09/2009  13:00:10   Salida                           0003201208  Acceso Otorgado    
17/09/2009  13:00:23   Salida                           0003201212  Acceso Otorgado    
17/09/2009  13:00:53   Salida                           0001370629  Acceso Otorgado    
17/09/2009  13:02:45   Salida                           0002810322  Acceso Otorgado    
17/09/2009  13:10:29   Salida                           0001370640  Acceso Otorgado    
17/09/2009  13:10:30   Entrada                          0001370640  Acceso Otorgado    
17/09/2009  13:15:00   Salida                           0002123423  Acceso Otorgado    
17/09/2009  13:33:51   Salida                           0001972300  Acceso Otorgado    
17/09/2009  13:33:52   Entrada                          0001972300  Acceso Otorgado    
17/09/2009  13:44:18   Entrada                          0001832121  Acceso Otorgado    
17/09/2009  13:47:30   Entrada                          0002810328  Acceso Otorgado    
17/09/2009  13:52:11   Entrada                          0001972267  Acceso Otorgado    
17/09/2009  13:52:31   Entrada                          0001972261  Acceso Otorgado    
17/09/2009  13:56:53   Entrada                          0001370633  Acceso Otorgado    
17/09/2009  13:56:55   Entrada                          0001370632  Acceso Otorgado    
17/09/2009  13:57:58   Entrada                          0001370610  Acceso Otorgado    
17/09/2009  13:58:02   Entrada                          0001972254  Acceso Otorgado    
17/09/2009  14:00:02   Entrada                          0001972265  Acceso Otorgado    
17/09/2009  14:03:01   Entrada                          0001832122  Acceso Otorgado    
17/09/2009  14:03:03   Entrada                          0001972262  Acceso Otorgado    
17/09/2009  14:03:26   Entrada                          0001832147  Acceso Otorgado    
17/09/2009  14:12:14   Entrada                          0001972260  Acceso Otorgado    
17/09/2009  14:14:10   Entrada                          0001370648  Acceso Otorgado    
17/09/2009  14:17:04   Entrada                          0001370603  Acceso Otorgado    
17/09/2009  14:17:06   Entrada                          0002810314  Acceso Otorgado    
17/09/2009  14:19:25   Entrada                          0001972274  Acceso Otorgado    
17/09/2009  14:23:03   Entrada                          0002811041  Acceso Otorgado    
17/09/2009  14:23:06   Entrada                          0003201257  Acceso Otorgado    
17/09/2009  14:23:10   Salida                           0001832124  Acceso Otorgado    
17/09/2009  14:23:12   Entrada                          0001832124  Acceso Otorgado    
17/09/2009  14:23:23   Entrada                          0001972278  Acceso Otorgado    
17/09/2009  14:23:51   Entrada                          0001370639  Acceso Otorgado    
17/09/2009  14:24:19   Entrada                          0001972257  Acceso Otorgado    
17/09/2009  14:25:39   Entrada                          0002810304  Acceso Otorgado    
17/09/2009  14:25:42   Entrada                          0002123421  Acceso Otorgado    
17/09/2009  14:25:46   Entrada                          0001370601  Acceso Otorgado    
17/09/2009  14:25:48   Entrada                          0002123418  Acceso Otorgado    
17/09/2009  14:25:54   Entrada                          0001972258  Acceso Otorgado    
17/09/2009  14:26:36   Entrada                          0001972251  Acceso Otorgado    
17/09/2009  14:26:42   Entrada                          0001972276  Acceso Otorgado    
17/09/2009  14:26:43   Entrada                          0001832119  Acceso Otorgado    
17/09/2009  14:26:50   Entrada                          0003201206  Acceso Otorgado    
17/09/2009  14:26:56   Entrada                          0001972269  Acceso Otorgado    
17/09/2009  14:26:57   Entrada                          0001832193  Acceso Otorgado    
17/09/2009  14:27:39   Entrada                          0001972253  Acceso Otorgado    
17/09/2009  14:27:43   Entrada                          0001832129  Acceso Otorgado    
17/09/2009  14:27:43   Entrada                          0001832129  Acceso Otorgado    
17/09/2009  14:28:01   Entrada                          0001370624  Acceso Otorgado    
17/09/2009  14:28:01   Entrada                          0001370624  Acceso Otorgado    
17/09/2009  14:28:03   Entrada                          0001370607  Acceso Otorgado    
17/09/2009  14:28:03   Entrada                          0001370607  Acceso Otorgado    
17/09/2009  14:28:44   Entrada                          0002123412  Acceso Otorgado    
17/09/2009  14:28:44   Entrada                          0002123412  Acceso Otorgado    
17/09/2009  14:28:45   Entrada                          0003201229  Acceso Otorgado    
17/09/2009  14:30:31   Entrada                          0001370617  Acceso Otorgado    
17/09/2009  14:30:34   Entrada                          0001370618  Acceso Otorgado    
17/09/2009  14:30:51   Entrada                          0001370643  Acceso Otorgado    
17/09/2009  14:30:53   Entrada                          0001832149  Acceso Otorgado    
17/09/2009  14:31:44   Entrada                          0001972252  Acceso Otorgado    
17/09/2009  14:31:46   Entrada                          0001370627  Acceso Otorgado    
17/09/2009  14:31:48   Entrada                          0002123411  Acceso Otorgado    
17/09/2009  14:31:54   Entrada                          0001370622  Acceso Otorgado    
17/09/2009  14:34:34   Entrada                          0001370635  Acceso Otorgado    
17/09/2009  14:34:35   Entrada                          0001972263  Acceso Otorgado    
17/09/2009  14:34:49   Entrada                          0003201209  Acceso Otorgado    
17/09/2009  14:36:00   Entrada                          0001972298  Acceso Otorgado    
17/09/2009  14:36:02   Entrada                          0001972275  Acceso Otorgado    
17/09/2009  14:36:17   Entrada                          0001972277  Acceso Otorgado    
17/09/2009  14:36:24   Entrada                          0002811022  Acceso Otorgado    
17/09/2009  14:36:26   Entrada                          0001832135  Acceso Otorgado    
17/09/2009  14:36:40   Entrada                          0001370638  Acceso Otorgado    
17/09/2009  14:36:42   Entrada                          0002123423  Acceso Otorgado    
17/09/2009  14:37:58   Entrada                          0002123420  Acceso Otorgado    
17/09/2009  14:37:59   Entrada                          0001832189  Acceso Otorgado    
17/09/2009  14:38:05   Entrada                          0001832127  Acceso Otorgado    
17/09/2009  14:38:12   Entrada                          0003201210  Acceso Otorgado    
17/09/2009  14:38:16   Entrada                          0001370636  Acceso Otorgado    
17/09/2009  14:38:32   Entrada                          0001370625  Acceso Otorgado    
17/09/2009  14:38:33   Entrada                          0001370629  Acceso Otorgado    
17/09/2009  14:38:39   Salida                           0002123422  Acceso Otorgado    
17/09/2009  14:38:40   Entrada                          0001832134  Acceso Otorgado    
17/09/2009  14:38:43   Entrada                          0002123422  Acceso Otorgado    
17/09/2009  14:39:11   Entrada                          0001972268  Acceso Otorgado    
17/09/2009  14:40:07   Entrada                          0001370606  Acceso Otorgado    
17/09/2009  14:40:22   Entrada                          0002810322  Acceso Otorgado    
17/09/2009  14:41:47   Entrada                          0001370644  Acceso Otorgado    
17/09/2009  14:41:48   Entrada                          0001370641  Acceso Otorgado    
17/09/2009  14:41:55   Entrada                          0001370642  Acceso Otorgado    
17/09/2009  14:41:57   Entrada                          0001370634  Acceso Otorgado    
17/09/2009  14:43:23   Entrada                          0001370650  Acceso Otorgado    
17/09/2009  14:43:42   Entrada                          0002811039  Acceso Otorgado    
17/09/2009  14:45:34   Entrada                          0003201228  Acceso Otorgado    
17/09/2009  14:49:15   Entrada                          0001972259  Acceso Otorgado    
17/09/2009  14:49:19   Entrada                          0003201212  Acceso Otorgado    
17/09/2009  14:49:38   Entrada                          0001370637  Acceso Otorgado    
17/09/2009  14:50:34   Entrada                          0001832123  Acceso Otorgado    
17/09/2009  14:54:30   Entrada                          0001972241  Acceso Otorgado    
17/09/2009  15:15:45   Entrada                          0001832144  Acceso Otorgado    
17/09/2009  16:42:54   Salida                           0003201203  Acceso Otorgado    
17/09/2009  18:31:03   Salida                           0001832186  Acceso Otorgado    
17/09/2009  18:33:16   Salida                           0001370648  Acceso Otorgado    
17/09/2009  18:33:56   Salida                           0002811041  Acceso Otorgado    
17/09/2009  18:34:29   Salida                           0002810304  Acceso Otorgado    
17/09/2009  18:34:37   Salida                           0001972253  Acceso Otorgado    
17/09/2009  18:35:37   Salida                           0001370642  Acceso Otorgado    
17/09/2009  18:36:17   Salida                           0001370650  Acceso Otorgado    
17/09/2009  18:36:20   Salida                           0001370650  Acceso Otorgado    
17/09/2009  18:36:23   Salida                           0001370635  Acceso Otorgado    
17/09/2009  18:37:00   Salida                           0001370643  Acceso Otorgado    
17/09/2009  18:37:04   Salida                           0002123411  Acceso Otorgado    
17/09/2009  18:38:16   Salida                           0001972241  Acceso Otorgado    
17/09/2009  18:38:17   Salida                           0001972268  Acceso Otorgado    
17/09/2009  18:38:21   Salida                           0001370636  Acceso Otorgado    
17/09/2009  18:38:49   Salida                           0001972276  Acceso Otorgado    
17/09/2009  18:39:09   Salida                           0001832121  Acceso Otorgado    
17/09/2009  18:39:13   Salida                           0001370610  Acceso Otorgado    
17/09/2009  18:40:22   Salida                           0001972266  Acceso Otorgado    
17/09/2009  18:40:57   Salida                           0002810301  Acceso Otorgado    
17/09/2009  18:41:24   Salida                           0001370627  Acceso Otorgado    
17/09/2009  18:41:33   Salida                           0001972258  Acceso Otorgado    
17/09/2009  18:45:23   Salida                           0002123412  Acceso Otorgado    
17/09/2009  18:45:24   Salida                           0001832144  Acceso Otorgado    
17/09/2009  18:45:44   Salida                           0001972256  Acceso Otorgado    
17/09/2009  18:45:53   Salida                           0001832189  Acceso Otorgado    
17/09/2009  18:47:22   Salida                           0001972259  Acceso Otorgado    
17/09/2009  18:49:58   Salida                           0001370618  Acceso Otorgado    
17/09/2009  18:50:00   Salida                           0001972251  Acceso Otorgado    
17/09/2009  18:50:18   Salida                           0002810314  Acceso Otorgado    
17/09/2009  18:50:22   Salida                           0001370603  Acceso Otorgado    
17/09/2009  18:52:49   Salida                           0003201257  Acceso Otorgado    
17/09/2009  18:53:20   Salida                           0003201209  Acceso Otorgado    
17/09/2009  18:53:25   Salida                           0001972269  Acceso Otorgado    
17/09/2009  18:53:35   Salida                           0001370634  Acceso Otorgado    
17/09/2009  18:53:54   Salida                           0001972275  Acceso Otorgado    
17/09/2009  18:54:47   Salida                           0001972263  Acceso Otorgado    
17/09/2009  18:54:49   Salida                           0001832124  Acceso Otorgado    
17/09/2009  18:55:55   Salida                           0001370638  Acceso Otorgado    
17/09/2009  18:56:26   Salida                           0001370632  Acceso Otorgado    
17/09/2009  18:57:05   Salida                           0002811022  Acceso Otorgado    
17/09/2009  19:03:56   Salida                           0002123413  Acceso Otorgado    
17/09/2009  19:04:50   Salida                           0002810321  Acceso Otorgado    
17/09/2009  19:04:56   Salida                           0001370641  Acceso Otorgado    
17/09/2009  19:07:27   Salida                           0001370617  Acceso Otorgado    
17/09/2009  19:11:35   Salida                           0001370616  Acceso Otorgado    
17/09/2009  19:12:25   Salida                           0001972298  Acceso Otorgado    
17/09/2009  19:17:10   Salida                           0001832129  Acceso Otorgado    
17/09/2009  19:17:17   Salida                           0002123421  Acceso Otorgado    
17/09/2009  19:19:23   Salida                           0001972278  Acceso Otorgado    
17/09/2009  19:20:24   Salida                           0001370607  Acceso Otorgado    
17/09/2009  19:22:09   Salida                           0001972252  Acceso Otorgado    
17/09/2009  19:25:33   Salida                           0001832149  Acceso Otorgado    
17/09/2009  19:27:54   Salida                           0001972277  Acceso Otorgado    
17/09/2009  19:28:03   Salida                           0001370629  Acceso Otorgado    
17/09/2009  19:34:43   Salida                           0001832127  Acceso Otorgado    
17/09/2009  19:36:52   Entrada                          0003201210  Acceso Otorgado    
17/09/2009  19:40:03   Salida                           0001370637  Acceso Otorgado    
17/09/2009  19:40:09   Salida                           0001370639  Acceso Otorgado    
17/09/2009  19:40:19   Salida                           0003201206  Acceso Otorgado    
17/09/2009  19:43:05   Salida                           0001832147  Acceso Otorgado    
17/09/2009  19:43:07   Salida                           0001370641  Acceso Otorgado    
17/09/2009  19:43:13   Salida                           0001832119  Acceso Otorgado    
17/09/2009  19:45:51   Salida                           0001972261  Acceso Otorgado    
17/09/2009  19:46:09   Salida                           0001832134  Acceso Otorgado    
17/09/2009  19:46:24   Salida                           0002123422  Acceso Otorgado    
17/09/2009  19:46:26   Salida                           0002123422  Acceso Otorgado    
17/09/2009  19:46:47   Salida                           0002123422  Acceso Otorgado    
17/09/2009  19:50:15   Salida                           0001370633  Acceso Otorgado    
17/09/2009  19:50:22   Salida                           0001832135  Acceso Otorgado    
17/09/2009  19:50:47   Salida                           0001972267  Acceso Otorgado    
17/09/2009  19:52:39   Salida                           0002123418  Acceso Otorgado    
17/09/2009  19:54:06   Salida                           0001370624  Acceso Otorgado    
17/09/2009  19:55:25   Salida                           0003201229  Acceso Otorgado    
17/09/2009  19:59:06   Salida                           0001972274  Acceso Otorgado    
17/09/2009  20:17:52   Salida                           0001370622  Acceso Otorgado    
17/09/2009  20:19:08   Salida                           0003201221  Acceso Otorgado    
17/09/2009  20:19:19   Salida                           0002123420  Acceso Otorgado    
17/09/2009  20:19:36   Salida                           0001832123  Acceso Otorgado    
17/09/2009  20:20:50   Salida                           0001972265  Acceso Otorgado    
17/09/2009  20:32:52   Salida                           0003201228  Acceso Otorgado    
17/09/2009  20:35:15   Salida                           0001832125  Acceso Otorgado    
17/09/2009  20:35:29   Salida                           0001832125  Acceso Otorgado    
17/09/2009  20:39:27   Salida                           0001972300  Acceso Otorgado    
17/09/2009  20:42:35   Salida                           0001972257  Acceso Otorgado    
17/09/2009  20:45:57   Salida                           0001832193  Acceso Otorgado    
17/09/2009  20:57:43   Salida                           0001832154  Acceso Otorgado    
17/09/2009  21:18:07   Salida                           0001370606  Acceso Otorgado    
17/09/2009  21:35:31   Salida                           0002123423  Acceso Otorgado    
17/09/2009  21:36:12   Salida                           0001972262  Acceso Otorgado    
17/09/2009  23:37:32   Salida                           0001972254  Acceso Otorgado    
